Name,AUID,Coords,Const,Type,Period,Mag
"BO Car","000-BBR-676","10 45 50.66 -59 29 19.3","Car","SRC","130.7","7.15 - 7.94 V"
"BZ Car","000-BBR-831","10 54 06.25 -62 02 32.8","Car","SRC","111.3","6.86 - 8.6 V"
"CK Car","000-BBR-451","10 24 25.36 -60 11 29.0","Car","SRC","266","6.85 - 8.06 V"
"EV Car","000-BBR-373","10 20 21.60 -60 27 15.8","Car","SRC","825","6.76 - 8.8 V"
"HR Car","000-BBR-436","10 22 53.84 -59 37 28.4","Car","SDOR","--","6.8 - 8.80 V"
"IX Car","000-BBR-762","10 50 26.30 -59 58 56.6","Car","SRC","384:","6.87 - 7.9 V"
"ASAS J110135-6102.9","000-BGV-436","11 01 35.76 -61 02 55.8","Car","LC","--","6.73 - 7.91 V"
"V0465 Cas","000-BBC-706","01 18 13.88 +57 48 11.4","Cas","SRB","60","6.1 - 7.2 V"
"rho Cas","000-BCS-075","23 54 23.03 +57 29 57.8","Cas","SDOR:","--","4.1 - 6.2 V"
"R Cen","000-BBV-294","14 16 34.32 -59 54 49.3","Cen","M","502","5.3 - 11.8 V"
"T Cen","000-BBT-848","13 41 45.56 -33 35 50.6","Cen","RVA","181.4","5.56 - 8.44 V"
"RV Cen","000-BBT-803","13 37 36.05 -56 28 35.0","Cen","M","457","7.0 - 10.8 V"
"V0744 Cen","000-BCV-339","13 39 59.81 -49 56 59.8","Cen","SRB","90","4.83 - 6.95 V"
"V0766 Cen","000-BDB-243","13 47 10.86 -62 35 23.0","Cen","EB+SDOR:","1304","6.11 - 7.50 V"
"V0854 Cen","000-BCV-353","14 34 49.41 -39 33 19.2","Cen","RCB","--","6.84 - 15.11 V"
"W Cep","000-BCQ-570","22 36 27.56 +58 25 33.9","Cep","SRC","350","7.02 - 8.5 V"
"RW Cep","000-BCQ-372","22 23 07.02 +55 57 47.6","Cep","SRD","346:","6.0 - 7.3 V"
"SS Cep","000-BBG-279","03 49 30.02 +80 19 20.9","Cep","SRB","90","6.5 - 7.7 V"
"AR Cep","000-BCQ-890","22 51 33.86 +85 02 47.0","Cep","SRB","364:","7.0 - 7.9 V"
"mu. Cep","000-BCP-244","21 43 30.50 +58 46 48.0","Cep","SRC","835","3.43 - 5.1 V"
"T Cet","000-BBB-510","00 21 46.27 -20 03 28.9","Cet","SRB","159.3","4.96 - 6.90 V"
"omi Cet","000-BBD-706","02 19 20.79 -02 58 39.5","Cet","M","331.96","2 - 10.1 V"
"tet Cir","000-BCV-487","14 56 43.99 -62 46 51.7","Cir","GCAS","--","4.81 - 5.65 V"
"R CrB","000-BBW-575","15 48 34.41 +28 09 24.3","CrB","RCB","--","5.71 - 15.2 V"
"RR CrB","000-BBW-452","15 41 26.23 +38 33 26.6","CrB","SRB","60.8","7.3 - 8.2 V"
"SV Crv","000-BCV-562","12 49 47.03 -15 04 44.1","Crv","SRB","65.2","6.75 - 7.6 V"
"RU Crt","000-BCV-569","11 51 06.47 -11 12 28.1","Crt","SRB","60.85","7.43 - 8.59 V"
"BH Cru","000-BCV-591","12 16 16.79 -56 17 09.6","Cru","M","521","6.55 - 10.1 V"
"W Cyg","000-BCP-079","21 36 02.50 +45 22 28.5","Cyg","SRB","131.7","5.10 - 6.83 V"
"RS Cyg","000-BCK-976","20 13 23.66 +38 43 44.5","Cyg","SRA","417.39","6.5 - 9.5 V"
"AF Cyg","000-BCG-935","19 30 12.85 +46 08 52.1","Cyg","SRB","92.5","6.4 - 7.7 V"
"CH Cyg","000-BCG-667","19 24 33.07 +50 14 29.1","Cyg","ZAND+SR","--","5.6 - 10.1 V"
"V0460 Cyg","000-BCP-181","21 42 01.08 +35 30 36.7","Cyg","SRB","180:","5.57 - 6.5 V"
"V1070 Cyg","000-BCN-832","21 22 48.60 +40 55 57.2","Cyg","SRB","62.4","6.56 - 7.56 V"
"U Del","000-BCM-398","20 45 28.24 +18 05 24.1","Del","SRB","120","6.14 - 7.61 V"
"CT Del","000-BCV-812","20 29 26.35 +09 53 52.2","Del","SRB","83.5","6.8 - 8.5 V"
"EU Del","000-BCM-022","20 37 54.71 +18 16 06.4","Del","SRB","58.63","5.41 - 6.72 V"
"R Dor","000-BBH-174","04 36 45.60 -62 04 38.0","Dor","SRB","172","4.78 - 6.32 V"
"AY Dor","000-BDQ-324","06 31 01.11 -66 52 14.6","Dor","SR","86.4","6.93 - 7.94 V"
"RY Dra","000-BBT-376","12 56 25.91 +65 59 39.8","Dra","SRB","300:","5.88 - 8.0 V"
"TX Dra","000-BBX-762","16 35 00.72 +60 28 05.2","Dra","SRB","78:","6.8 - 8.2 V"
